t,x,y
27.448583,12.194581,0.923392
27.481934,12.207746,0.941218
27.515286,12.222788,0.963981
27.548638,12.239867,0.982096
27.581990,12.257564,0.989160
27.615342,12.273914,0.984741
27.648694,12.287697,0.970347
27.682046,12.299899,0.949836
27.715397,12.315058,0.924177
27.748749,12.326562,0.908653
27.782101,12.337027,0.913377
27.815453,12.350344,0.931113
27.848805,12.365032,0.955484
27.882157,12.381187,0.976573
27.915509,12.398595,0.986877
27.948860,12.414934,0.985741
27.982212,12.428913,0.974233
28.015564,12.440881,0.956206
28.048916,12.455549,0.932325
28.082268,12.466582,0.913248
28.115620,12.476417,0.916217
28.148972,12.489608,0.934260
28.182324,12.504830,0.959588
28.215675,12.522292,0.981974
28.249027,12.540450,0.993424
28.282379,12.557526,0.993421
28.315731,12.572732,0.982230
28.349083,12.585629,0.963425
28.382435,12.600414,0.938559
28.415787,12.614741,0.918419
28.449138,12.625441,0.920732
28.482490,12.637866,0.937316
28.515842,12.652716,0.960021
28.549194,12.669515,0.978724
28.582546,12.687250,0.986489
28.615898,12.703522,0.982754
28.649250,12.716647,0.969894
28.682601,12.728280,0.950851
28.715953,12.742801,0.926143
28.749305,12.754023,0.911402
28.782657,12.764595,0.916986
28.816009,12.778338,0.935320
28.849361,12.793208,0.959580
28.882713,12.809618,0.980236
28.916064,12.827283,0.990046
28.949416,12.843790,0.988405
28.982768,12.857920,0.976354
29.016120,12.869802,0.957790
29.049472,12.884369,0.933550
29.082824,12.896256,0.912622
29.116176,12.906115,0.912966
29.149528,12.918727,0.929180
29.182879,12.933525,0.953720
29.216231,12.949973,0.975695
29.249583,12.967782,0.987026
29.282935,12.984583,0.986924
29.316287,12.999148,0.976186
29.349639,13.011132,0.958670
29.382991,13.025688,0.935191
29.416342,13.037917,0.915479
29.449694,13.048305,0.917788
29.483046,13.061239,0.934870
29.516398,13.076285,0.958948
29.549750,13.093285,0.979787
29.583102,13.111232,0.989735
29.616454,13.127928,0.988205
29.649805,13.142277,0.976281
29.683157,13.154670,0.957939
29.716509,13.169640,0.933891
29.749861,13.182093,0.918777
29.783213,13.192933,0.924131
29.816565,13.206096,0.942333
29.849917,13.221435,0.964279
29.883268,13.238689,0.980521
29.916620,13.256280,0.985656
29.949972,13.272491,0.979292
29.983324,13.285948,0.963541
30.016676,13.298425,0.941842
30.050028,13.313934,0.916808
30.083380,13.325981,0.908135
30.116732,13.337340,0.916408
30.150083,13.351486,0.935805
30.183435,13.366610,0.959922
30.216787,13.383164,0.979596
30.250139,13.400407,0.988250
30.283491,13.416622,0.985468
30.316843,13.430738,0.972044
30.350195,13.443229,0.951967
30.383546,13.458493,0.926423
30.416898,13.470454,0.911574
30.450250,13.481354,0.919099
30.483602,13.495824,0.939497
30.516954,13.511609,0.964367
30.550306,13.529078,0.984470
30.583658,13.546994,0.993471
30.617009,13.563891,0.991032
30.650361,13.578915,0.977531
30.683713,13.592336,0.956886
30.717065,13.608240,0.930625
30.750417,13.622021,0.916170
30.783769,13.633357,0.923070
30.817121,13.647243,0.942474
30.850472,13.662972,0.963573
30.883824,13.680279,0.977284
30.917176,13.697586,0.979876
30.950528,13.713702,0.971070
